price,year,make,model,bodytype,transmission,odometer,drivetrain,age,annual_km
48800,2021,Ford,Edge,SUV,Automatic,1502,awd,2,751
46995,2019,Toyota,Tacoma,Truck,Automatic,81434,4x4,4,20358
46990,2019,Toyota,Tacoma,Truck,Automatic,63744,4x4,4,15936
46350,2020,Bmw,3,Sedan,Automatic,24878,awd,3,8292
45995,2019,Chevrolet,Silverado,Truck,Automatic,96345,4x4,4,24086
43990,2018,Nissan,Titan,Truck,Automatic,59966,4x4,5,11993
41990,2021,Subaru,Wrx,Sedan,Manual,13001,awd,2,6500
41598,2018,Nissan,Titan,Truck,Automatic,50899,4x4,5,10179
41990,2020,Jeep,Grand,SUV,Automatic,69666,4x4,3,23222
40979,2019,Ford,F-150,Truck,Automatic,73358,4x4,4,18339
39980,2019,Toyota,Sienna,Minivan,Automatic,85710,fwd,4,21427
39980,2019,Toyota,Sienna,Minivan,Automatic,81997,fwd,4,20499
37995,2020,Ford,Escape,SUV,Automatic,60680,awd,3,20226
39839,2016,Ram,1500,Truck,Automatic,128401,4x4,7,18343
132990,2021,Jeep,Grand,Other,Automatic,13150,other,2,6575
39632,2018,Jeep,Wrangler,SUV,Automatic,37004,4x4,5,7400
29995,2014,Jeep,Wrangler,SUV,Automatic,171202,4x4,9,19022
37019,2022,Hyundai,Tucson,SUV,Automatic,2720,awd,1,2720
34980,2015,Jeep,Wrangler,SUV,Automatic,148218,4x4,8,18527
35145,2019,Dodge,Grand,Minivan,Automatic,74330,fwd,4,18582
35998,2017,Chevrolet,Silverado,Truck,Automatic,110974,4x4,6,18495
35640,2019,Dodge,Grand,Minivan,Automatic,96961,fwd,4,24240
35016,2017,Subaru,Forester,SUV,Automatic,41759,awd,6,6959
34864,2019,Kia,Sorento,SUV,Automatic,42803,awd,4,10700
30778,2019,Toyota,Camry,Sedan,Automatic,58101,fwd,4,14525
33898,2018,Mercedes-benz,Cla,Sedan,Automatic,50115,awd,5,10023
34608,2019,Jeep,Cherokee,SUV,Automatic,27932,4x4,4,6983
32948,2021,Mitsubishi,Rvr,SUV,Automatic,10631,4x4,2,5315
29091,2017,Infiniti,Qx50,SUV,Automatic,50787,awd,6,8464
32719,2018,Ram,1500,Truck,Automatic,137868,4x4,5,27573
31599,2020,Mazda,Mazda3,Sedan,Automatic,30309,fwd,3,10103
23995,2013,Ford,Explorer,SUV,Automatic,124973,awd,10,12497
16995,2015,Mitsubishi,Lancer,Sedan,Automatic,76432,fwd,8,9554
14995,2008,Bmw,3,Coupe,Automatic,188122,rwd,15,12541
13995,2010,Toyota,Sienna,Minivan,Automatic,184166,fwd,13,14166
11995,2011,Toyota,Rav4,SUV,Automatic,304618,awd,12,25384
11995,2011,Bmw,3,Sedan,Automatic,149851,rwd,12,12487
10995,2008,Lincoln,Mkx,Sedan,Automatic,199162,awd,15,13277
10995,2008,Lexus,Rx,SUV,Automatic,283611,awd,15,18907
10995,2011,Kia,Sorento,SUV,Automatic,211325,awd,12,17610
9995,2006,Chevrolet,Silverado,Truck,Automatic,158101,rwd,17,9300
9995,2007,Honda,Civic,Sedan,Manual,171761,fwd,16,10735
8995,2003,Acura,Mdx,SUV,Automatic,200335,awd,20,10016
8995,2003,Toyota,Camry,Sedan,Automatic,145294,fwd,20,7264
7595,2006,Ford,Focus,Sedan,Automatic,101331,fwd,17,5960
5495,2005,Ford,Focus,Sedan,Automatic,209749,fwd,18,11652
36378,2017,Ram,1500,Truck,Automatic,147320,4x4,6,24553
31995,2020,Volkswagen,Tiguan,SUV,Automatic,64822,awd,3,21607
49900,2019,Toyota,4runner,SUV,Automatic,53965,4x4,4,13491
49795,2019,Infiniti,Q50,Sedan,Automatic,64866,awd,4,16216
36800,2015,Toyota,4runner,SUV,Automatic,148948,4x4,8,18618
52990,2019,Nissan,Armada,SUV,Automatic,56916,4x4,4,14229
45800,2020,Infiniti,Qx50,SUV,Automatic,27401,awd,3,9133
41250,2019,Infiniti,Qx50,SUV,Automatic,45690,awd,4,11422
43766,2019,Infiniti,Qx60,SUV,Automatic,35710,awd,4,8927
35295,2019,Toyota,Rav4,SUV,Automatic,27861,awd,4,6965
22779,2014,Honda,Cr-v,SUV,Automatic,141529,awd,9,15725
55900,2019,Ford,Super,Truck,Automatic,147712,4x4,4,36928
9995,2010,Buick,Enclave,SUV,Automatic,192355,awd,13,14796
30990,2018,Jeep,Cherokee,SUV,Automatic,35100,4x4,5,7020
34594,2017,Dodge,Charger,Sedan,Automatic,54014,awd,6,9002
29500,2015,Subaru,Outback,SUV,Automatic,74440,awd,8,9305
32990,2017,Ram,1500,Truck,Automatic,63063,4x4,6,10510
19995,2011,Cadillac,Escalade,SUV,Automatic,243455,awd,12,20287
39995,2019,Ram,1500,Truck,Automatic,42739,4x4,4,10684
31995,2015,Ram,1500,Truck,Automatic,161498,4x4,8,20187
33995,2018,Ram,1500,Truck,Automatic,106878,4x4,5,21375
30999,2017,Ram,1500,Truck,Automatic,102819,4x4,6,17136
29910,2016,Ram,1500,Truck,Automatic,142480,4x4,7,20354
32850,2017,Ram,1500,Truck,Automatic,111949,4x4,6,18658
49995,2019,Ram,1500,Truck,Automatic,129565,4x4,4,32391
28995,2017,Ram,1500,Truck,Automatic,99963,4x4,6,16660
38995,2020,Chrysler,300,Sedan,Automatic,24806,rwd,3,8268
52995,2019,Ram,1500,Truck,Automatic,90548,4x4,4,22637
28989,2019,Volkswagen,Jetta,Sedan,Manual,17163,fwd,4,4290
26999,2017,Hyundai,Santa,SUV,Automatic,128308,awd,6,21384
19997,2015,Mitsubishi,Rvr,SUV,Automatic,119338,4x4,8,14917
41888,2019,Bmw,X1,Minivan,Automatic,49658,awd,4,12414
8990,2011,Chevrolet,Traverse,SUV,Automatic,193957,awd,12,16163
24995,2015,Nissan,Murano,SUV,Automatic,141300,awd,8,17662
43900,2020,Ford,Edge,SUV,Automatic,62275,awd,3,20758
26999,2017,Hyundai,Santa,SUV,Automatic,128308,awd,6,21384
22999,2017,Mitsubishi,Outlander,SUV,Automatic,155199,4x4,6,25866
14999,2013,Ford,F-150,Truck,Automatic,291618,4x4,10,29161
16999,2012,Jeep,Wrangler,SUV,Manual,284123,4x4,11,25829
16999,2018,Hyundai,Elantra,Sedan,Automatic,151453,fwd,5,30290
17999,2015,Ford,Escape,SUV,Automatic,160213,awd,8,20026
26999,2012,Land,Rover,SUV,Automatic,159654,4x4,11,14514
23999,2014,Chevrolet,Silverado,Truck,Automatic,159412,4x4,9,17712
9999,2009,Mini,Cooper,Hatchback,Automatic,93451,fwd,14,6675
10999,2010,Dodge,Charger,Sedan,Automatic,77241,rwd,13,5941
18999,2012,Toyota,Rav4,SUV,Automatic,128452,awd,11,11677
17999,2016,Ram,1500,Truck,Automatic,189990,4x4,7,27141
12999,2016,Jeep,Compass,SUV,Automatic,194586,4x4,7,27798
88850,2018,Ford,Super,Truck,Automatic,116129,4x4,5,23225
11999,2007,Lexus,Is,Sedan,Automatic,195040,awd,16,12190
32995,2007,Chevrolet,1500,Truck,Automatic,118900,rwd,16,7431
9988,2014,Ford,Escape,SUV,Automatic,270199,other,9,30022
15990,2010,Mercedes-benz,Glk-class,SUV,Automatic,147300,4x4,13,11330
28288,2018,Nissan,Rogue,SUV,Automatic,68119,awd,5,13623
31999,2017,Chevrolet,Silverado,Truck,Automatic,157157,4x4,6,26192
34975,2018,Nissan,Qashqai,SUV,Automatic,36935,awd,5,7387
29975,2017,Nissan,Rogue,SUV,Automatic,41308,awd,6,6884
41975,2020,Volkswagen,Golf,Hatchback,Automatic,18000,fwd,3,6000
34999,2016,Ford,Explorer,SUV,Automatic,66800,4x4,7,9542
30499,2019,Ford,Escape,SUV,Automatic,99646,4x4,4,24911
29975,2021,Toyota,Corolla,Sedan,Automatic,15319,fwd,2,7659
42999,2021,Gmc,Canyon,Truck,Automatic,10440,4x4,2,5220
25499,2017,Volkswagen,Beetle,Hatchback,Automatic,65339,fwd,6,10889
79900,2018,Ford,Super,Truck,Automatic,143119,4x4,5,28623
48868,2021,Gmc,Canyon,Truck,Automatic,8275,4x4,2,4137
56888,2020,Honda,Civic,Hatchback,Manual,21850,fwd,3,7283
39884,2021,Jeep,Cherokee,SUV,Automatic,24230,4x4,2,12115
87963,2019,Ram,3500,Truck,Automatic,81542,4x4,4,20385
55990,2019,Ford,F-150,Truck,Automatic,24931,4x4,4,6232
31012,2019,Nissan,Altima,Sedan,Automatic,58402,awd,4,14600
21549,2018,Mitsubishi,Rvr,SUV,Automatic,74702,fwd,5,14940
48995,2020,Jeep,Grand,SUV,Automatic,36534,4x4,3,12178
66995,2020,Bmw,3,Sedan,Automatic,19899,awd,3,6633
62887,2016,Ram,2500,Truck,Automatic,165756,4x4,7,23679
30988,2018,Nissan,Rogue,SUV,Automatic,50012,other,5,10002
44927,2018,Ram,1500,Truck,Automatic,79348,4x4,5,15869
29900,2015,Ford,Super,Truck,Automatic,196877,4x4,8,24609
15900,2006,Chevrolet,3500,Truck,Automatic,380921,4x4,17,22407
43900,2011,Dodge,Ram,Truck,Automatic,199489,4x4,12,16624
9995,2011,Chevrolet,Traverse,SUV,Automatic,204624,awd,12,17052
14995,2014,Gmc,Terrain,SUV,Automatic,178126,awd,9,19791
40800,2017,Honda,Odyssey,Minivan,Automatic,27700,fwd,6,4616
26800,2013,Bmw,X5,SUV,Automatic,84900,4x4,10,8490
35990,2019,Hyundai,Santa,SUV,Automatic,85000,awd,4,21250
11995,2009,Hyundai,Santa,SUV,Automatic,126763,awd,14,9054
65500,2019,Mercedes-benz,E-class,Sedan,Automatic,8985,awd,4,2246
25950,2012,Nissan,Frontier,Truck,Automatic,43614,fwd,11,3964
79888,2017,Mercedes-benz,C-class,Sedan,Automatic,51767,rwd,6,8627
28999,2013,Ford,F-150,Truck,Automatic,147998,4x4,10,14799
36999,2017,Gmc,Sierra,Truck,Automatic,137887,4x4,6,22981
17999,2013,Ram,1500,Truck,Automatic,150234,other,10,15023
19999,2007,Ford,Super,Truck,Automatic,327887,4x4,16,20492
12999,2014,Nissan,Juke,SUV,Automatic,191887,awd,9,21320
39999,2012,Ford,Super,Truck,Automatic,194887,4x4,11,17717
26999,2007,Ford,Super,Truck,Automatic,236887,4x4,16,14805
13999,2008,Ford,Super,Truck,Automatic,158987,rwd,15,10599
25999,2018,Dodge,Grand,Minivan,Automatic,109887,fwd,5,21977
29999,2007,Dodge,Ram,Truck,Automatic,96887,4x4,16,6055
18999,2014,Ford,Fusion,Sedan,Automatic,127000,awd,9,14111
9999,2012,Hyundai,Santa,SUV,Automatic,231887,4x4,11,21080
28999,2015,Ram,1500,Truck,Automatic,204887,4x4,8,25610
26999,2018,Ford,Edge,SUV,Automatic,123887,awd,5,24777
54999,2018,Chevrolet,Silverado,Truck,Automatic,242887,4x4,5,48577
32999,2009,Lexus,Lx,SUV,Automatic,269000,other,14,19214
12999,2013,Ford,Explorer,SUV,Automatic,204887,awd,10,20488
33135,2014,Mercedes-benz,M-class,SUV,Automatic,139556,awd,9,15506
51371,2021,Bmw,3,Sedan,Automatic,47394,awd,2,23697
84907,2020,Jeep,Grand,SUV,Automatic,46754,4x4,3,15584
51980,2020,Hyundai,Palisade,SUV,Automatic,14697,awd,3,4899
54999,2021,Dodge,Durango,SUV,Automatic,11351,awd,2,5675
26500,2015,Bmw,X1,SUV,Automatic,39095,awd,8,4886
40888,2019,Nissan,Pathfinder,SUV,Automatic,54181,4x4,4,13545
22900,2011,Ford,Super,Truck,Automatic,259130,4x4,12,21594
28900,2018,Dodge,Journey,SUV,Automatic,67902,awd,5,13580
